"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
26000,Michigan,,Real dollar statistics,
26000,Michigan,1,"  Real GDP (millions of chained 2012 dollars) 1/",490318.1
26000,Michigan,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
26000,Michigan,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
26000,Michigan,,Current dollar statistics (millions of dollars),
26000,Michigan,4,"  Gross domestic product (GDP)",620695.6
26000,Michigan,5,"  Personal income",570065.1
26000,Michigan,6,"  Disposable personal income",494242.2
26000,Michigan,7,"  Personal consumption expenditures",(NA)
26000,Michigan,,Real per capita dollar statistics (constant 2012 dollars),
26000,Michigan,8,"  Real per capita personal income 4/",(NA)
26000,Michigan,9,"  Real per capita PCE 5/",(NA)
26000,Michigan,,Per capita current dollar statistics,
26000,Michigan,10,"  Per capita personal income 6/",56813
26000,Michigan,11,"  Per capita disposable personal income 7/",49256
26000,Michigan,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
26000,Michigan,,Price indexes,
26000,Michigan,13,"  Regional price parities (RPPs) 9/",(NA)
26000,Michigan,14,"  Implicit regional price deflator 10/",(NA)
26000,Michigan,,Employment,
26000,Michigan,15,"  Total employment (number of jobs)",(NA)
27000,Minnesota,,Real dollar statistics,
27000,Minnesota,1,"  Real GDP (millions of chained 2012 dollars) 1/",350314.5
27000,Minnesota,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
27000,Minnesota,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
27000,Minnesota,,Current dollar statistics (millions of dollars),
27000,Minnesota,4,"  Gross domestic product (GDP)",446499.5
27000,Minnesota,5,"  Personal income",388828.2
27000,Minnesota,6,"  Disposable personal income",327934.1
27000,Minnesota,7,"  Personal consumption expenditures",(NA)
27000,Minnesota,,Real per capita dollar statistics (constant 2012 dollars),
27000,Minnesota,8,"  Real per capita personal income 4/",(NA)
27000,Minnesota,9,"  Real per capita PCE 5/",(NA)
27000,Minnesota,,Per capita current dollar statistics,
27000,Minnesota,10,"  Per capita personal income 6/",68010
27000,Minnesota,11,"  Per capita disposable personal income 7/",57359
27000,Minnesota,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
27000,Minnesota,,Price indexes,
27000,Minnesota,13,"  Regional price parities (RPPs) 9/",(NA)
27000,Minnesota,14,"  Implicit regional price deflator 10/",(NA)
27000,Minnesota,,Employment,
27000,Minnesota,15,"  Total employment (number of jobs)",(NA)
28000,Mississippi,,Real dollar statistics,
28000,Mississippi,1,"  Real GDP (millions of chained 2012 dollars) 1/",104535.3
28000,Mississippi,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
28000,Mississippi,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
28000,Mississippi,,Current dollar statistics (millions of dollars),
28000,Mississippi,4,"  Gross domestic product (GDP)",138739.7
28000,Mississippi,5,"  Personal income",135972.3
28000,Mississippi,6,"  Disposable personal income",123149.5
28000,Mississippi,7,"  Personal consumption expenditures",(NA)
28000,Mississippi,,Real per capita dollar statistics (constant 2012 dollars),
28000,Mississippi,8,"  Real per capita personal income 4/",(NA)
28000,Mississippi,9,"  Real per capita PCE 5/",(NA)
28000,Mississippi,,Per capita current dollar statistics,
28000,Mississippi,10,"  Per capita personal income 6/",46248
28000,Mississippi,11,"  Per capita disposable personal income 7/",41887
28000,Mississippi,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
28000,Mississippi,,Price indexes,
28000,Mississippi,13,"  Regional price parities (RPPs) 9/",(NA)
28000,Mississippi,14,"  Implicit regional price deflator 10/",(NA)
28000,Mississippi,,Employment,
28000,Mississippi,15,"  Total employment (number of jobs)",(NA)
29000,Missouri,,Real dollar statistics,
29000,Missouri,1,"  Real GDP (millions of chained 2012 dollars) 1/",300676.3
29000,Missouri,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
29000,Missouri,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
29000,Missouri,,Current dollar statistics (millions of dollars),
29000,Missouri,4,"  Gross domestic product (GDP)",389931.2
29000,Missouri,5,"  Personal income",349369.5
29000,Missouri,6,"  Disposable personal income",304989.2
29000,Missouri,7,"  Personal consumption expenditures",(NA)
29000,Missouri,,Real per capita dollar statistics (constant 2012 dollars),
29000,Missouri,8,"  Real per capita personal income 4/",(NA)
29000,Missouri,9,"  Real per capita PCE 5/",(NA)
29000,Missouri,,Per capita current dollar statistics,
29000,Missouri,10,"  Per capita personal income 6/",56551
29000,Missouri,11,"  Per capita disposable personal income 7/",49367
29000,Missouri,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
29000,Missouri,,Price indexes,
29000,Missouri,13,"  Regional price parities (RPPs) 9/",(NA)
29000,Missouri,14,"  Implicit regional price deflator 10/",(NA)
29000,Missouri,,Employment,
29000,Missouri,15,"  Total employment (number of jobs)",(NA)
30000,Montana,,Real dollar statistics,
30000,Montana,1,"  Real GDP (millions of chained 2012 dollars) 1/",49752.2
30000,Montana,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
30000,Montana,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
30000,Montana,,Current dollar statistics (millions of dollars),
30000,Montana,4,"  Gross domestic product (GDP)",65014.5
30000,Montana,5,"  Personal income",64811.1
30000,Montana,6,"  Disposable personal income",56071.3
30000,Montana,7,"  Personal consumption expenditures",(NA)
30000,Montana,,Real per capita dollar statistics (constant 2012 dollars),
30000,Montana,8,"  Real per capita personal income 4/",(NA)
30000,Montana,9,"  Real per capita PCE 5/",(NA)
30000,Montana,,Per capita current dollar statistics,
30000,Montana,10,"  Per capita personal income 6/",57719
30000,Montana,11,"  Per capita disposable personal income 7/",49936
30000,Montana,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
30000,Montana,,Price indexes,
30000,Montana,13,"  Regional price parities (RPPs) 9/",(NA)
30000,Montana,14,"  Implicit regional price deflator 10/",(NA)
30000,Montana,,Employment,
30000,Montana,15,"  Total employment (number of jobs)",(NA)
31000,Nebraska,,Real dollar statistics,
31000,Nebraska,1,"  Real GDP (millions of chained 2012 dollars) 1/",123539.6
31000,Nebraska,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
31000,Nebraska,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
31000,Nebraska,,Current dollar statistics (millions of dollars),
31000,Nebraska,4,"  Gross domestic product (GDP)",161702.0
31000,Nebraska,5,"  Personal income",124611.1
31000,Nebraska,6,"  Disposable personal income",109743.0
31000,Nebraska,7,"  Personal consumption expenditures",(NA)
31000,Nebraska,,Real per capita dollar statistics (constant 2012 dollars),
31000,Nebraska,8,"  Real per capita personal income 4/",(NA)
31000,Nebraska,9,"  Real per capita PCE 5/",(NA)
31000,Nebraska,,Per capita current dollar statistics,
31000,Nebraska,10,"  Per capita personal income 6/",63321
31000,Nebraska,11,"  Per capita disposable personal income 7/",55766
31000,Nebraska,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
31000,Nebraska,,Price indexes,
31000,Nebraska,13,"  Regional price parities (RPPs) 9/",(NA)
31000,Nebraska,14,"  Implicit regional price deflator 10/",(NA)
31000,Nebraska,,Employment,
31000,Nebraska,15,"  Total employment (number of jobs)",(NA)
32000,Nevada,,Real dollar statistics,
32000,Nevada,1,"  Real GDP (millions of chained 2012 dollars) 1/",165455.1
32000,Nevada,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
32000,Nevada,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
32000,Nevada,,Current dollar statistics (millions of dollars),
32000,Nevada,4,"  Gross domestic product (GDP)",215917.8
32000,Nevada,5,"  Personal income",194740.9
32000,Nevada,6,"  Disposable personal income",168663.9
32000,Nevada,7,"  Personal consumption expenditures",(NA)
32000,Nevada,,Real per capita dollar statistics (constant 2012 dollars),
32000,Nevada,8,"  Real per capita personal income 4/",(NA)
32000,Nevada,9,"  Real per capita PCE 5/",(NA)
32000,Nevada,,Per capita current dollar statistics,
32000,Nevada,10,"  Per capita personal income 6/",61282
32000,Nevada,11,"  Per capita disposable personal income 7/",53076
32000,Nevada,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
32000,Nevada,,Price indexes,
32000,Nevada,13,"  Regional price parities (RPPs) 9/",(NA)
32000,Nevada,14,"  Implicit regional price deflator 10/",(NA)
32000,Nevada,,Employment,
32000,Nevada,15,"  Total employment (number of jobs)",(NA)
33000,New Hampshire,,Real dollar statistics,
33000,New Hampshire,1,"  Real GDP (millions of chained 2012 dollars) 1/",83004.4
33000,New Hampshire,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
33000,New Hampshire,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
33000,New Hampshire,,Current dollar statistics (millions of dollars),
33000,New Hampshire,4,"  Gross domestic product (GDP)",105414.4
33000,New Hampshire,5,"  Personal income",104172.7
33000,New Hampshire,6,"  Disposable personal income",90446.8
33000,New Hampshire,7,"  Personal consumption expenditures",(NA)
33000,New Hampshire,,Real per capita dollar statistics (constant 2012 dollars),
33000,New Hampshire,8,"  Real per capita personal income 4/",(NA)
33000,New Hampshire,9,"  Real per capita PCE 5/",(NA)
33000,New Hampshire,,Per capita current dollar statistics,
33000,New Hampshire,10,"  Per capita personal income 6/",74663
33000,New Hampshire,11,"  Per capita disposable personal income 7/",64826
33000,New Hampshire,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
33000,New Hampshire,,Price indexes,
33000,New Hampshire,13,"  Regional price parities (RPPs) 9/",(NA)
33000,New Hampshire,14,"  Implicit regional price deflator 10/",(NA)
33000,New Hampshire,,Employment,
33000,New Hampshire,15,"  Total employment (number of jobs)",(NA)
34000,New Jersey,,Real dollar statistics,
34000,New Jersey,1,"  Real GDP (millions of chained 2012 dollars) 1/",581704.2
34000,New Jersey,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
34000,New Jersey,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
34000,New Jersey,,Current dollar statistics (millions of dollars),
34000,New Jersey,4,"  Gross domestic product (GDP)",745422.2
34000,New Jersey,5,"  Personal income",728900.2
34000,New Jersey,6,"  Disposable personal income",609831.1
34000,New Jersey,7,"  Personal consumption expenditures",(NA)
34000,New Jersey,,Real per capita dollar statistics (constant 2012 dollars),
34000,New Jersey,8,"  Real per capita personal income 4/",(NA)
34000,New Jersey,9,"  Real per capita PCE 5/",(NA)
34000,New Jersey,,Per capita current dollar statistics,
34000,New Jersey,10,"  Per capita personal income 6/",78700
34000,New Jersey,11,"  Per capita disposable personal income 7/",65844
34000,New Jersey,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
34000,New Jersey,,Price indexes,
34000,New Jersey,13,"  Regional price parities (RPPs) 9/",(NA)
34000,New Jersey,14,"  Implicit regional price deflator 10/",(NA)
34000,New Jersey,,Employment,
34000,New Jersey,15,"  Total employment (number of jobs)",(NA)
35000,New Mexico,,Real dollar statistics,
35000,New Mexico,1,"  Real GDP (millions of chained 2012 dollars) 1/",94663.4
35000,New Mexico,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
35000,New Mexico,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
35000,New Mexico,,Current dollar statistics (millions of dollars),
35000,New Mexico,4,"  Gross domestic product (GDP)",122114.8
35000,New Mexico,5,"  Personal income",108836.4
35000,New Mexico,6,"  Disposable personal income",97785.1
35000,New Mexico,7,"  Personal consumption expenditures",(NA)
35000,New Mexico,,Real per capita dollar statistics (constant 2012 dollars),
35000,New Mexico,8,"  Real per capita personal income 4/",(NA)
35000,New Mexico,9,"  Real per capita PCE 5/",(NA)
35000,New Mexico,,Per capita current dollar statistics,
35000,New Mexico,10,"  Per capita personal income 6/",51500
35000,New Mexico,11,"  Per capita disposable personal income 7/",46270
35000,New Mexico,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
35000,New Mexico,,Price indexes,
35000,New Mexico,13,"  Regional price parities (RPPs) 9/",(NA)
35000,New Mexico,14,"  Implicit regional price deflator 10/",(NA)
35000,New Mexico,,Employment,
35000,New Mexico,15,"  Total employment (number of jobs)",(NA)
36000,New York,,Real dollar statistics,
36000,New York,1,"  Real GDP (millions of chained 2012 dollars) 1/",1563043.7
36000,New York,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
36000,New York,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
36000,New York,,Current dollar statistics (millions of dollars),
36000,New York,4,"  Gross domestic product (GDP)",2053179.7
36000,New York,5,"  Personal income",1536576.8
36000,New York,6,"  Disposable personal income",1241977.4
36000,New York,7,"  Personal consumption expenditures",(NA)
36000,New York,,Real per capita dollar statistics (constant 2012 dollars),
36000,New York,8,"  Real per capita personal income 4/",(NA)
36000,New York,9,"  Real per capita PCE 5/",(NA)
36000,New York,,Per capita current dollar statistics,
36000,New York,10,"  Per capita personal income 6/",78089
36000,New York,11,"  Per capita disposable personal income 7/",63118
36000,New York,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
36000,New York,,Price indexes,
36000,New York,13,"  Regional price parities (RPPs) 9/",(NA)
36000,New York,14,"  Implicit regional price deflator 10/",(NA)
36000,New York,,Employment,
36000,New York,15,"  Total employment (number of jobs)",(NA)
37000,North Carolina,,Real dollar statistics,
37000,North Carolina,1,"  Real GDP (millions of chained 2012 dollars) 1/",559510.1
37000,North Carolina,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
37000,North Carolina,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
37000,North Carolina,,Current dollar statistics (millions of dollars),
37000,North Carolina,4,"  Gross domestic product (GDP)",730072.4
37000,North Carolina,5,"  Personal income",614297.2
37000,North Carolina,6,"  Disposable personal income",532042.0
37000,North Carolina,7,"  Personal consumption expenditures",(NA)
37000,North Carolina,,Real per capita dollar statistics (constant 2012 dollars),
37000,North Carolina,8,"  Real per capita personal income 4/",(NA)
37000,North Carolina,9,"  Real per capita PCE 5/",(NA)
37000,North Carolina,,Per capita current dollar statistics,
37000,North Carolina,10,"  Per capita personal income 6/",57416
37000,North Carolina,11,"  Per capita disposable personal income 7/",49728
37000,North Carolina,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
37000,North Carolina,,Price indexes,
37000,North Carolina,13,"  Regional price parities (RPPs) 9/",(NA)
37000,North Carolina,14,"  Implicit regional price deflator 10/",(NA)
37000,North Carolina,,Employment,
37000,North Carolina,15,"  Total employment (number of jobs)",(NA)
38000,North Dakota,,Real dollar statistics,
38000,North Dakota,1,"  Real GDP (millions of chained 2012 dollars) 1/",53125.4
38000,North Dakota,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
38000,North Dakota,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
38000,North Dakota,,Current dollar statistics (millions of dollars),
38000,North Dakota,4,"  Gross domestic product (GDP)",73267.1
38000,North Dakota,5,"  Personal income",51574.5
38000,North Dakota,6,"  Disposable personal income",45711.0
38000,North Dakota,7,"  Personal consumption expenditures",(NA)
38000,North Dakota,,Real per capita dollar statistics (constant 2012 dollars),
38000,North Dakota,8,"  Real per capita personal income 4/",(NA)
38000,North Dakota,9,"  Real per capita PCE 5/",(NA)
38000,North Dakota,,Per capita current dollar statistics,
38000,North Dakota,10,"  Per capita personal income 6/",66184
38000,North Dakota,11,"  Per capita disposable personal income 7/",58659
38000,North Dakota,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
38000,North Dakota,,Price indexes,
38000,North Dakota,13,"  Regional price parities (RPPs) 9/",(NA)
38000,North Dakota,14,"  Implicit regional price deflator 10/",(NA)
38000,North Dakota,,Employment,
38000,North Dakota,15,"  Total employment (number of jobs)",(NA)
39000,Ohio,,Real dollar statistics,
39000,Ohio,1,"  Real GDP (millions of chained 2012 dollars) 1/",638910.0
39000,Ohio,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
39000,Ohio,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
39000,Ohio,,Current dollar statistics (millions of dollars),
39000,Ohio,4,"  Gross domestic product (GDP)",822669.7
39000,Ohio,5,"  Personal income",680435.4
39000,Ohio,6,"  Disposable personal income",594587.9
39000,Ohio,7,"  Personal consumption expenditures",(NA)
39000,Ohio,,Real per capita dollar statistics (constant 2012 dollars),
39000,Ohio,8,"  Real per capita personal income 4/",(NA)
39000,Ohio,9,"  Real per capita PCE 5/",(NA)
39000,Ohio,,Per capita current dollar statistics,
39000,Ohio,10,"  Per capita personal income 6/",57880
39000,Ohio,11,"  Per capita disposable personal income 7/",50577
39000,Ohio,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
39000,Ohio,,Price indexes,
39000,Ohio,13,"  Regional price parities (RPPs) 9/",(NA)
39000,Ohio,14,"  Implicit regional price deflator 10/",(NA)
39000,Ohio,,Employment,
39000,Ohio,15,"  Total employment (number of jobs)",(NA)
40000,Oklahoma,,Real dollar statistics,
40000,Oklahoma,1,"  Real GDP (millions of chained 2012 dollars) 1/",191388.1
40000,Oklahoma,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
40000,Oklahoma,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
40000,Oklahoma,,Current dollar statistics (millions of dollars),
40000,Oklahoma,4,"  Gross domestic product (GDP)",240534.3
40000,Oklahoma,5,"  Personal income",221080.6
40000,Oklahoma,6,"  Disposable personal income",198572.0
40000,Oklahoma,7,"  Personal consumption expenditures",(NA)
40000,Oklahoma,,Real per capita dollar statistics (constant 2012 dollars),
40000,Oklahoma,8,"  Real per capita personal income 4/",(NA)
40000,Oklahoma,9,"  Real per capita PCE 5/",(NA)
40000,Oklahoma,,Per capita current dollar statistics,
40000,Oklahoma,10,"  Per capita personal income 6/",54998
40000,Oklahoma,11,"  Per capita disposable personal income 7/",49398
40000,Oklahoma,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
40000,Oklahoma,,Price indexes,
40000,Oklahoma,13,"  Regional price parities (RPPs) 9/",(NA)
40000,Oklahoma,14,"  Implicit regional price deflator 10/",(NA)
40000,Oklahoma,,Employment,
40000,Oklahoma,15,"  Total employment (number of jobs)",(NA)
41000,Oregon,,Real dollar statistics,
41000,Oregon,1,"  Real GDP (millions of chained 2012 dollars) 1/",234806.2
41000,Oregon,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
41000,Oregon,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
41000,Oregon,,Current dollar statistics (millions of dollars),
41000,Oregon,4,"  Gross domestic product (GDP)",299125.5
41000,Oregon,5,"  Personal income",266139.2
41000,Oregon,6,"  Disposable personal income",226259.3
41000,Oregon,7,"  Personal consumption expenditures",(NA)
41000,Oregon,,Real per capita dollar statistics (constant 2012 dollars),
41000,Oregon,8,"  Real per capita personal income 4/",(NA)
41000,Oregon,9,"  Real per capita PCE 5/",(NA)
41000,Oregon,,Per capita current dollar statistics,
41000,Oregon,10,"  Per capita personal income 6/",62767
41000,Oregon,11,"  Per capita disposable personal income 7/",53361
41000,Oregon,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
41000,Oregon,,Price indexes,
41000,Oregon,13,"  Regional price parities (RPPs) 9/",(NA)
41000,Oregon,14,"  Implicit regional price deflator 10/",(NA)
41000,Oregon,,Employment,
41000,Oregon,15,"  Total employment (number of jobs)",(NA)
42000,Pennsylvania,,Real dollar statistics,
42000,Pennsylvania,1,"  Real GDP (millions of chained 2012 dollars) 1/",726035.6
42000,Pennsylvania,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
42000,Pennsylvania,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
42000,Pennsylvania,,Current dollar statistics (millions of dollars),
42000,Pennsylvania,4,"  Gross domestic product (GDP)",923088.8
42000,Pennsylvania,5,"  Personal income",845346.7
42000,Pennsylvania,6,"  Disposable personal income",726870.3
42000,Pennsylvania,7,"  Personal consumption expenditures",(NA)
42000,Pennsylvania,,Real per capita dollar statistics (constant 2012 dollars),
42000,Pennsylvania,8,"  Real per capita personal income 4/",(NA)
42000,Pennsylvania,9,"  Real per capita PCE 5/",(NA)
42000,Pennsylvania,,Per capita current dollar statistics,
42000,Pennsylvania,10,"  Per capita personal income 6/",65167
42000,Pennsylvania,11,"  Per capita disposable personal income 7/",56034
42000,Pennsylvania,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
42000,Pennsylvania,,Price indexes,
42000,Pennsylvania,13,"  Regional price parities (RPPs) 9/",(NA)
42000,Pennsylvania,14,"  Implicit regional price deflator 10/",(NA)
42000,Pennsylvania,,Employment,
42000,Pennsylvania,15,"  Total employment (number of jobs)",(NA)
44000,Rhode Island,,Real dollar statistics,
44000,Rhode Island,1,"  Real GDP (millions of chained 2012 dollars) 1/",55413.3
44000,Rhode Island,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
44000,Rhode Island,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
44000,Rhode Island,,Current dollar statistics (millions of dollars),
44000,Rhode Island,4,"  Gross domestic product (GDP)",71402.2
44000,Rhode Island,5,"  Personal income",71504.9
44000,Rhode Island,6,"  Disposable personal income",61565.1
44000,Rhode Island,7,"  Personal consumption expenditures",(NA)
44000,Rhode Island,,Real per capita dollar statistics (constant 2012 dollars),
44000,Rhode Island,8,"  Real per capita personal income 4/",(NA)
44000,Rhode Island,9,"  Real per capita PCE 5/",(NA)
44000,Rhode Island,,Per capita current dollar statistics,
44000,Rhode Island,10,"  Per capita personal income 6/",65377
44000,Rhode Island,11,"  Per capita disposable personal income 7/",56289
44000,Rhode Island,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
44000,Rhode Island,,Price indexes,
44000,Rhode Island,13,"  Regional price parities (RPPs) 9/",(NA)
44000,Rhode Island,14,"  Implicit regional price deflator 10/",(NA)
44000,Rhode Island,,Employment,
44000,Rhode Island,15,"  Total employment (number of jobs)",(NA)
45000,South Carolina,,Real dollar statistics,
45000,South Carolina,1,"  Real GDP (millions of chained 2012 dollars) 1/",226420.1
45000,South Carolina,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
45000,South Carolina,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
45000,South Carolina,,Current dollar statistics (millions of dollars),
45000,South Carolina,4,"  Gross domestic product (GDP)",295880.5
45000,South Carolina,5,"  Personal income",281668.1
45000,South Carolina,6,"  Disposable personal income",246806.5
45000,South Carolina,7,"  Personal consumption expenditures",(NA)
45000,South Carolina,,Real per capita dollar statistics (constant 2012 dollars),
45000,South Carolina,8,"  Real per capita personal income 4/",(NA)
45000,South Carolina,9,"  Real per capita PCE 5/",(NA)
45000,South Carolina,,Per capita current dollar statistics,
45000,South Carolina,10,"  Per capita personal income 6/",53320
45000,South Carolina,11,"  Per capita disposable personal income 7/",46720
45000,South Carolina,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
45000,South Carolina,,Price indexes,
45000,South Carolina,13,"  Regional price parities (RPPs) 9/",(NA)
45000,South Carolina,14,"  Implicit regional price deflator 10/",(NA)
45000,South Carolina,,Employment,
45000,South Carolina,15,"  Total employment (number of jobs)",(NA)
46000,South Dakota,,Real dollar statistics,
46000,South Dakota,1,"  Real GDP (millions of chained 2012 dollars) 1/",49809.2
46000,South Dakota,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
46000,South Dakota,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
46000,South Dakota,,Current dollar statistics (millions of dollars),
46000,South Dakota,4,"  Gross domestic product (GDP)",67570.7
46000,South Dakota,5,"  Personal income",59871.6
46000,South Dakota,6,"  Disposable personal income",54305.6
46000,South Dakota,7,"  Personal consumption expenditures",(NA)
46000,South Dakota,,Real per capita dollar statistics (constant 2012 dollars),
46000,South Dakota,8,"  Real per capita personal income 4/",(NA)
46000,South Dakota,9,"  Real per capita PCE 5/",(NA)
46000,South Dakota,,Per capita current dollar statistics,
46000,South Dakota,10,"  Per capita personal income 6/",65806
46000,South Dakota,11,"  Per capita disposable personal income 7/",59688
46000,South Dakota,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
46000,South Dakota,,Price indexes,
46000,South Dakota,13,"  Regional price parities (RPPs) 9/",(NA)
46000,South Dakota,14,"  Implicit regional price deflator 10/",(NA)
46000,South Dakota,,Employment,
46000,South Dakota,15,"  Total employment (number of jobs)",(NA)
47000,Tennessee,,Real dollar statistics,
47000,Tennessee,1,"  Real GDP (millions of chained 2012 dollars) 1/",367776.0
47000,Tennessee,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
47000,Tennessee,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
47000,Tennessee,,Current dollar statistics (millions of dollars),
47000,Tennessee,4,"  Gross domestic product (GDP)",475755.1
47000,Tennessee,5,"  Personal income",410944.8
47000,Tennessee,6,"  Disposable personal income",368520.2
47000,Tennessee,7,"  Personal consumption expenditures",(NA)
47000,Tennessee,,Real per capita dollar statistics (constant 2012 dollars),
47000,Tennessee,8,"  Real per capita personal income 4/",(NA)
47000,Tennessee,9,"  Real per capita PCE 5/",(NA)
47000,Tennessee,,Per capita current dollar statistics,
47000,Tennessee,10,"  Per capita personal income 6/",58279
47000,Tennessee,11,"  Per capita disposable personal income 7/",52262
47000,Tennessee,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
47000,Tennessee,,Price indexes,
47000,Tennessee,13,"  Regional price parities (RPPs) 9/",(NA)
47000,Tennessee,14,"  Implicit regional price deflator 10/",(NA)
47000,Tennessee,,Employment,
47000,Tennessee,15,"  Total employment (number of jobs)",(NA)
48000,Texas,,Real dollar statistics,
48000,Texas,1,"  Real GDP (millions of chained 2012 dollars) 1/",1876327.8
48000,Texas,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
48000,Texas,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
48000,Texas,,Current dollar statistics (millions of dollars),
48000,Texas,4,"  Gross domestic product (GDP)",2355959.7
48000,Texas,5,"  Personal income",1861395.9
48000,Texas,6,"  Disposable personal income",1636263.0
48000,Texas,7,"  Personal consumption expenditures",(NA)
48000,Texas,,Real per capita dollar statistics (constant 2012 dollars),
48000,Texas,8,"  Real per capita personal income 4/",(NA)
48000,Texas,9,"  Real per capita PCE 5/",(NA)
48000,Texas,,Per capita current dollar statistics,
48000,Texas,10,"  Per capita personal income 6/",61985
48000,Texas,11,"  Per capita disposable personal income 7/",54488
48000,Texas,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
48000,Texas,,Price indexes,
48000,Texas,13,"  Regional price parities (RPPs) 9/",(NA)
48000,Texas,14,"  Implicit regional price deflator 10/",(NA)
48000,Texas,,Employment,
48000,Texas,15,"  Total employment (number of jobs)",(NA)
49000,Utah,,Real dollar statistics,
49000,Utah,1,"  Real GDP (millions of chained 2012 dollars) 1/",191965.2
49000,Utah,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
49000,Utah,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
49000,Utah,,Current dollar statistics (millions of dollars),
49000,Utah,4,"  Gross domestic product (GDP)",248176.3
49000,Utah,5,"  Personal income",195834.2
49000,Utah,6,"  Disposable personal income",167797.4
49000,Utah,7,"  Personal consumption expenditures",(NA)
49000,Utah,,Real per capita dollar statistics (constant 2012 dollars),
49000,Utah,8,"  Real per capita personal income 4/",(NA)
49000,Utah,9,"  Real per capita PCE 5/",(NA)
49000,Utah,,Per capita current dollar statistics,
49000,Utah,10,"  Per capita personal income 6/",57925
49000,Utah,11,"  Per capita disposable personal income 7/",49632
